position,team,gp,w,d,l,gf,ga,gd,pts
1,Paris Saint-Germain,25,18,3,4,54,22,32,57
2,Lens,25,18,2,5,48,21,27,56
3,Marseille,25,14,4,7,52,33,19,46
4,Lyon,24,14,3,7,39,26,13,45
5,AS Monaco,25,12,4,9,43,37,6,40
6,Lille,24,12,4,8,37,31,6,40
7,Stade Rennais,24,11,7,6,38,35,3,40
8,Strasbourg,25,10,6,9,40,31,9,36
9,Brest,24,9,6,9,32,34,-2,33
10,Lorient,24,8,9,7,34,38,-4,33
11,Angers,25,9,5,11,23,30,-7,32
12,Toulouse,25,8,7,10,33,29,4,31
13,Le Havre AC,24,6,8,10,20,30,-10,26
14,Paris FC,24,6,8,10,28,40,-12,26
15,Nice,24,6,6,12,30,44,-14,24
16,AJ Auxerre,25,4,7,14,19,35,-16,19
17,Nantes,25,4,5,16,22,42,-20,17
18,Metz,25,3,4,18,22,56,-34,13
