home_team,away_team,p_home_book,p_draw_book,p_away_book
1. FC Heidenheim,Bayer Leverkusen,0.17842281224163578,0.21958845113060255,0.6019887366277616
1. FC Köln,Borussia Monchengladbach,0.4203787232916099,0.2634344719268479,0.3161868047815422
Augsburg,VfB Stuttgart,0.26575012561970385,0.24591063594861953,0.4883392384316766
Bayer Leverkusen,Bayern Munich,0.2033919241907969,0.212289811762825,0.5843182640463781
Bayern Munich,Union Berlin,0.7987834733078863,0.12842788928703572,0.07278863740507797
Borussia Dortmund,Augsburg,0.6745972645165933,0.19323355097002787,0.13216918451337878
Borussia Dortmund,Hamburger SV,0.6773514021807611,0.1927557070140085,0.12989289080523048
Borussia Monchengladbach,FC St. Pauli,0.47608243610108036,0.28202162796986946,0.24189593592905023
Eintracht Frankfurt,1. FC Heidenheim,0.6185789615027786,0.2124021327677262,0.16901890572949527
FC St. Pauli,SC Freiburg,0.3668012998298145,0.30056497644846614,0.3326337237217193
FSV Mainz 05,Eintracht Frankfurt,0.4488325575972319,0.2599490035672288,0.2912184388355393
Hamburger SV,1. FC Köln,0.44716831730929635,0.267218440332798,0.2856132423579057
RB Leipzig,TSG Hoffenheim,0.4924875668677472,0.23472815776295083,0.27278427536930194
SC Freiburg,Union Berlin,0.43419664262151514,0.28819629541433983,0.2776070619641451
TSG Hoffenheim,VfL Wolfsburg,0.6331837237080171,0.2023965338651882,0.16441974242679472
VfB Stuttgart,RB Leipzig,0.42487065719711864,0.24147349205519344,0.33365585074768783
VfL Wolfsburg,Werder Bremen,0.3721098646734585,0.2609208551623129,0.36696928016422853
Werder Bremen,FSV Mainz 05,0.41335752872450066,0.2694113297927822,0.31723114148271714
