position,team,gp,w,d,l,gf,ga,gd,pts
1,Internazionale,27,22,1,4,64,21,43,67
2,AC Milan,27,16,9,2,43,20,23,57
3,Napoli,28,17,5,6,43,29,14,56
4,AS Roma,27,16,3,8,37,19,18,51
5,Como,28,14,9,5,46,21,25,51
6,Juventus,28,14,8,6,50,28,22,50
7,Atalanta,28,12,10,6,39,26,13,46
8,Bologna,27,11,6,10,36,32,4,39
9,Sassuolo,27,11,5,11,34,36,-2,38
10,Udinese,28,10,6,12,33,41,-8,36
11,Lazio,27,8,10,9,26,27,-1,34
12,Parma,27,8,9,10,20,32,-12,33
13,Cagliari,28,7,9,12,30,38,-8,30
14,Torino,28,8,6,14,28,49,-21,30
15,Genoa,27,6,9,12,32,39,-7,27
16,Fiorentina,27,5,9,13,30,42,-12,24
17,Cremonese,27,5,9,13,21,38,-17,24
18,Lecce,27,6,6,15,18,36,-18,24
19,Hellas Verona,27,2,9,16,20,48,-28,15
20,Pisa,28,1,12,15,20,48,-28,15
