Bayern Munich,Borussia Dortmund,TSG Hoffenheim,VfB Stuttgart,RB Leipzig,Bayer Leverkusen,Eintracht Frankfurt,SC Freiburg,FC Augsburg,Hamburg SV,1. FC Union Berlin,Borussia Mönchengladbach,Werder Bremen,FC Cologne,Mainz,St. Pauli,VfL Wolfsburg,1. FC Heidenheim 1846
9999.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,9078.0,726.0,48.0,129.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,783.0,5819.0,1000.0,1989.0,409.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,120.0,2313.0,2652.0,3422.0,1493.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,17.0,880.0,3516.0,2695.0,2876.0,14.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.0,262.0,2712.0,1738.0,5093.0,161.0,32.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,69.0,25.0,106.0,6307.0,2748.0,384.0,184.0,148.0,8.0,3.0,11.0,7.0,0.0,0.0,0.0
0.0,0.0,0.0,3.0,2.0,5.0,2493.0,4839.0,1106.0,601.0,652.0,93.0,32.0,79.0,65.0,30.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,731.0,1498.0,2846.0,1852.0,1759.0,349.0,149.0,394.0,264.0,157.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,207.0,583.0,2049.0,2112.0,2149.0,722.0,418.0,791.0,606.0,356.0,7.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,56.0,202.0,1508.0,1867.0,1910.0,1113.0,661.0,1072.0,961.0,626.0,24.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,23.0,68.0,1005.0,1376.0,1362.0,1401.0,986.0,1400.0,1369.0,928.0,81.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,5.0,24.0,599.0,922.0,948.0,1613.0,1333.0,1540.0,1586.0,1269.0,161.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,305.0,571.0,582.0,1609.0,1692.0,1621.0,1682.0,1623.0,305.0,3.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,146.0,354.0,311.0,1561.0,1996.0,1494.0,1599.0,1923.0,602.0,14.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,147.0,153.0,1175.0,2024.0,1255.0,1470.0,2238.0,1437.0,52.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,14.0,26.0,349.0,697.0,333.0,379.0,826.0,6827.0,547.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,9.0,10.0,12.0,24.0,555.0,9383.0
