Barcelona,Real Madrid,Atlético Madrid,Villarreal,Real Betis,Celta Vigo,Espanyol,Real Sociedad,Getafe,Athletic Club,Osasuna,Valencia,Rayo Vallecano,Sevilla,Girona,Alavés,Elche,Mallorca,Levante,Real Oviedo
8534.0,1466.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1456.0,8376.0,77.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,151.0,4505.0,5331.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,7.0,5341.0,4522.0,100.0,27.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,74.0,55.0,6532.0,2558.0,143.0,443.0,41.0,30.0,114.0,4.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,2.0,1.0,2303.0,4602.0,592.0,1404.0,289.0,174.0,497.0,30.0,81.0,9.0,14.0,0.0,1.0,1.0,0.0,0.0
0.0,0.0,1.0,0.0,716.0,1747.0,1415.0,2752.0,843.0,543.0,1421.0,107.0,341.0,42.0,59.0,2.0,5.0,6.0,0.0,0.0
0.0,0.0,0.0,0.0,251.0,661.0,1784.0,1943.0,1377.0,970.0,1797.0,285.0,622.0,138.0,137.0,7.0,16.0,11.0,1.0,0.0
0.0,0.0,0.0,0.0,67.0,259.0,1703.0,1354.0,1642.0,1296.0,1729.0,458.0,907.0,236.0,242.0,17.0,54.0,36.0,0.0,0.0
0.0,0.0,0.0,0.0,22.0,78.0,1460.0,882.0,1613.0,1494.0,1356.0,666.0,1262.0,428.0,468.0,51.0,150.0,70.0,0.0,0.0
0.0,0.0,0.0,0.0,6.0,44.0,1064.0,537.0,1415.0,1547.0,1085.0,960.0,1462.0,705.0,646.0,127.0,261.0,137.0,4.0,0.0
0.0,0.0,0.0,0.0,1.0,16.0,802.0,316.0,1111.0,1348.0,787.0,1267.0,1470.0,1006.0,950.0,209.0,442.0,264.0,11.0,0.0
0.0,0.0,0.0,0.0,0.0,3.0,534.0,199.0,794.0,1051.0,580.0,1515.0,1278.0,1299.0,1218.0,367.0,721.0,422.0,19.0,0.0
0.0,0.0,0.0,0.0,0.0,2.0,273.0,101.0,452.0,707.0,299.0,1493.0,1024.0,1713.0,1436.0,677.0,1063.0,717.0,43.0,0.0
0.0,0.0,0.0,0.0,0.0,1.0,145.0,43.0,251.0,470.0,186.0,1257.0,718.0,1689.0,1549.0,1097.0,1420.0,1050.0,123.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,61.0,16.0,115.0,256.0,110.0,1028.0,447.0,1316.0,1395.0,1671.0,1778.0,1543.0,254.0,10.0
0.0,0.0,0.0,0.0,0.0,1.0,18.0,8.0,48.0,97.0,29.0,628.0,244.0,928.0,1125.0,2243.0,1840.0,2095.0,657.0,39.0
0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,5.0,17.0,8.0,263.0,120.0,408.0,655.0,2546.0,1641.0,2493.0,1684.0,154.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,39.0,19.0,80.0,105.0,933.0,572.0,1077.0,6121.0,1049.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,53.0,36.0,78.0,1083.0,8747.0
