Paris Saint-Germain,Lens,Marseille,Lyon,Stade Rennais,Lille,AS Monaco,Strasbourg,Brest,Lorient,Angers,Toulouse,Paris FC,Le Havre AC,Nice,AJ Auxerre,Nantes,Metz
6972.0,3022.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2982.0,6818.0,159.0,38.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43.0,150.0,6808.0,2049.0,656.0,132.0,146.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,10.0,2139.0,4578.0,1836.0,578.0,702.0,142.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,625.0,1986.0,3440.0,1592.0,1591.0,688.0,63.0,12.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,197.0,893.0,2162.0,2588.0,2444.0,1399.0,241.0,57.0,5.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,59.0,338.0,1232.0,2685.0,2451.0,2277.0,642.0,249.0,17.0,48.0,2.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,8.0,97.0,540.0,1749.0,1889.0,2888.0,1628.0,856.0,83.0,253.0,7.0,2.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0,16.0,112.0,526.0,586.0,1533.0,3482.0,2266.0,373.0,1053.0,40.0,12.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,3.0,18.0,119.0,153.0,740.0,2344.0,3357.0,975.0,2065.0,150.0,73.0,3.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1.0,31.0,33.0,227.0,1059.0,2079.0,2462.0,3271.0,463.0,344.0,28.0,2.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,5.0,82.0,441.0,868.0,3852.0,2255.0,1341.0,974.0,169.0,13.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,83.0,212.0,1603.0,812.0,3609.0,2760.0,809.0,101.0,3.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,37.0,533.0,200.0,2931.0,3607.0,2144.0,519.0,21.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,92.0,27.0,1271.0,1852.0,4637.0,1898.0,202.0,17.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,175.0,358.0,2045.0,5593.0,1586.0,238.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,18.0,162.0,1703.0,6329.0,1778.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,171.0,1859.0,7967.0
