Internazionale,AC Milan,Napoli,Como,AS Roma,Juventus,Atalanta,Bologna,Sassuolo,Udinese,Lazio,Parma,Genoa,Cagliari,Torino,Lecce,Fiorentina,Cremonese,Hellas Verona,Pisa
9763.0,233.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
234.0,7892.0,1212.0,391.0,77.0,192.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,1351.0,4083.0,2341.0,857.0,1356.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,368.0,2417.0,2910.0,1736.0,2520.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,123.0,1475.0,2333.0,2683.0,3134.0,252.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,32.0,767.0,1791.0,3999.0,2433.0,975.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.0,43.0,231.0,638.0,362.0,8152.0,299.0,207.0,22.0,44.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,3.0,10.0,2.0,494.0,3896.0,3222.0,753.0,1442.0,99.0,45.0,21.0,12.0,1.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,55.0,2716.0,2878.0,1525.0,2114.0,351.0,212.0,90.0,50.0,5.0,4.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,11.0,1692.0,2049.0,2206.0,2362.0,768.0,503.0,241.0,149.0,8.0,10.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,920.0,990.0,2539.0,1974.0,1454.0,1079.0,527.0,412.0,35.0,64.0,5.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,347.0,409.0,1504.0,1138.0,2334.0,1904.0,1170.0,847.0,120.0,194.0,33.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0,164.0,833.0,556.0,2109.0,2160.0,1802.0,1377.0,319.0,488.0,98.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,58.0,434.0,241.0,1585.0,1769.0,2164.0,1940.0,651.0,874.0,260.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,16.0,150.0,105.0,889.0,1234.0,2019.0,2102.0,1335.0,1583.0,556.0,1.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,31.0,23.0,353.0,705.0,1294.0,1771.0,2266.0,2466.0,1069.0,9.0,7.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,55.0,333.0,507.0,985.0,3262.0,2522.0,2260.0,38.0,34.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,55.0,163.0,352.0,1900.0,1702.0,5283.0,302.0,239.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,97.0,88.0,405.0,6051.0,3354.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,30.0,3599.0,6365.0
