Internazionale,AC Milan,Napoli,Como,AS Roma,Juventus,Atalanta,Bologna,Sassuolo,Lazio,Udinese,Parma,Genoa,Cagliari,Torino,Lecce,Fiorentina,Cremonese,Hellas Verona,Pisa
9735.0,259.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
260.0,7962.0,1133.0,382.0,77.0,186.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,1255.0,4179.0,2329.0,852.0,1370.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,389.0,2413.0,2943.0,1735.0,2456.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,107.0,1473.0,2347.0,2658.0,3164.0,251.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,27.0,751.0,1765.0,3973.0,2443.0,1035.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.0,45.0,234.0,700.0,376.0,8091.0,272.0,166.0,86.0,26.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,5.0,5.0,478.0,3839.0,2580.0,2170.0,740.0,106.0,50.0,14.0,13.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,65.0,2612.0,2688.0,2648.0,1378.0,303.0,180.0,58.0,49.0,5.0,14.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,5.0,1775.0,2245.0,2349.0,2098.0,708.0,456.0,193.0,145.0,8.0,16.0,2.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1002.0,1368.0,1614.0,2665.0,1280.0,1109.0,516.0,356.0,32.0,52.0,6.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,356.0,572.0,700.0,1589.0,2399.0,1948.0,1220.0,880.0,117.0,190.0,28.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.0,239.0,303.0,873.0,2330.0,2156.0,1832.0,1328.0,339.0,407.0,87.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,100.0,100.0,425.0,1585.0,1811.0,2245.0,1897.0,703.0,886.0,215.0,1.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,32.0,26.0,156.0,892.0,1194.0,1970.0,2214.0,1337.0,1614.0,554.0,4.0,2.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,42.0,318.0,728.0,1250.0,1774.0,2280.0,2516.0,1065.0,13.0,6.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,7.0,70.0,304.0,561.0,1000.0,3245.0,2509.0,2227.0,39.0,36.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,62.0,141.0,341.0,1835.0,1715.0,5362.0,299.0,237.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,96.0,76.0,410.0,6134.0,3280.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,44.0,3510.0,6438.0
