Barcelona,Real Madrid,Villarreal,Atlético Madrid,Real Betis,Celta Vigo,Espanyol,Real Sociedad,Getafe,Athletic Club,Osasuna,Valencia,Rayo Vallecano,Sevilla,Girona,Alavés,Elche,Mallorca,Levante,Real Oviedo
8454.0,1546.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1542.0,8335.0,47.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,117.0,4715.0,5156.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,2.0,5163.0,4670.0,124.0,40.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,75.0,93.0,6699.0,2435.0,56.0,454.0,47.0,24.0,102.0,7.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,5.0,2231.0,4727.0,342.0,1543.0,300.0,193.0,507.0,42.0,84.0,13.0,10.0,1.0,2.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,633.0,1771.0,1157.0,2836.0,900.0,572.0,1533.0,130.0,350.0,55.0,52.0,2.0,5.0,4.0,0.0,0.0
0.0,0.0,0.0,0.0,223.0,617.0,1640.0,1967.0,1472.0,1020.0,1737.0,309.0,647.0,142.0,179.0,6.0,21.0,20.0,0.0,0.0
0.0,0.0,0.0,0.0,58.0,263.0,1724.0,1202.0,1596.0,1300.0,1656.0,480.0,998.0,310.0,295.0,21.0,63.0,34.0,0.0,0.0
0.0,0.0,0.0,0.0,16.0,87.0,1635.0,791.0,1545.0,1491.0,1272.0,715.0,1244.0,445.0,468.0,52.0,153.0,83.0,3.0,0.0
0.0,0.0,0.0,0.0,8.0,32.0,1227.0,540.0,1326.0,1520.0,1072.0,952.0,1426.0,712.0,678.0,95.0,247.0,162.0,3.0,0.0
0.0,0.0,0.0,0.0,1.0,15.0,959.0,330.0,1092.0,1246.0,809.0,1240.0,1394.0,1026.0,927.0,191.0,471.0,293.0,6.0,0.0
0.0,0.0,0.0,0.0,0.0,7.0,629.0,178.0,785.0,1053.0,579.0,1407.0,1341.0,1288.0,1189.0,346.0,712.0,462.0,24.0,0.0
0.0,0.0,0.0,0.0,0.0,3.0,351.0,89.0,497.0,731.0,394.0,1490.0,1023.0,1574.0,1425.0,624.0,998.0,746.0,54.0,1.0
0.0,0.0,0.0,0.0,0.0,1.0,177.0,51.0,252.0,461.0,192.0,1302.0,709.0,1614.0,1496.0,1096.0,1463.0,1059.0,122.0,5.0
0.0,0.0,0.0,0.0,0.0,1.0,78.0,11.0,131.0,265.0,96.0,988.0,453.0,1358.0,1397.0,1696.0,1716.0,1507.0,287.0,16.0
0.0,0.0,0.0,0.0,0.0,0.0,16.0,4.0,44.0,94.0,39.0,649.0,220.0,911.0,1094.0,2330.0,1877.0,2035.0,656.0,31.0
0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,13.0,28.0,10.0,247.0,87.0,438.0,671.0,2612.0,1654.0,2472.0,1605.0,153.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,2.0,41.0,18.0,112.0,115.0,869.0,579.0,1031.0,6173.0,1056.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,59.0,39.0,92.0,1067.0,8738.0
