Arsenal,Manchester City,Manchester United,Aston Villa,Chelsea,Liverpool,Brentford,Everton,AFC Bournemouth,Fulham,Sunderland,Newcastle United,Crystal Palace,Brighton & Hove Albion,Leeds United,Tottenham Hotspur,Nottingham Forest,West Ham United,Burnley,Wolverhampton Wanderers
9431.0,569.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
568.0,9173.0,132.0,62.0,46.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,226.0,4490.0,1796.0,2175.0,1255.0,53.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,16.0,2516.0,2636.0,2578.0,1961.0,226.0,39.0,7.0,9.0,7.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,13.0,1616.0,2686.0,2432.0,2434.0,581.0,139.0,16.0,31.0,23.0,20.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,3.0,902.0,2103.0,1832.0,2678.0,1488.0,460.0,107.0,140.0,90.0,95.0,22.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,277.0,550.0,618.0,1091.0,3706.0,1391.0,490.0,606.0,358.0,443.0,112.0,354.0,4.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,54.0,122.0,208.0,360.0,1815.0,2165.0,1070.0,1119.0,773.0,1112.0,297.0,894.0,11.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,9.0,35.0,75.0,131.0,993.0,1786.0,1401.0,1342.0,1080.0,1452.0,471.0,1189.0,36.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,3.0,8.0,26.0,49.0,511.0,1437.0,1492.0,1456.0,1327.0,1527.0,686.0,1413.0,62.0,2.0,1.0,0.0,0.0,0.0
0.0,0.0,1.0,2.0,4.0,14.0,352.0,1109.0,1545.0,1564.0,1453.0,1458.0,974.0,1370.0,135.0,13.0,4.0,2.0,0.0,0.0
0.0,0.0,0.0,0.0,5.0,5.0,177.0,715.0,1444.0,1477.0,1580.0,1339.0,1440.0,1466.0,293.0,37.0,15.0,7.0,0.0,0.0
0.0,0.0,0.0,0.0,1.0,3.0,64.0,486.0,1196.0,1166.0,1665.0,1248.0,1930.0,1478.0,608.0,87.0,47.0,21.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,32.0,240.0,906.0,857.0,1255.0,999.0,2705.0,1188.0,1266.0,276.0,178.0,98.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,2.0,30.0,289.0,216.0,338.0,261.0,1090.0,450.0,4081.0,1712.0,934.0,595.0,2.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,16.0,48.0,42.0,221.0,84.0,2139.0,3123.0,2655.0,1634.0,5.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,3.0,2.0,47.0,18.0,982.0,2712.0,3233.0,2966.0,31.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,2.0,378.0,2003.0,2829.0,4567.0,191.0,24.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,34.0,104.0,110.0,7782.0,1965.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1989.0,8010.0
