Internazionale,AC Milan,Napoli,Como,AS Roma,Juventus,Atalanta,Bologna,Sassuolo,Lazio,Udinese,Parma,Torino,Genoa,Cagliari,Lecce,Fiorentina,Cremonese,Hellas Verona,Pisa
9745.0,243.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
251.0,7840.0,1219.0,405.0,86.0,199.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,1394.0,4122.0,2298.0,825.0,1347.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,366.0,2386.0,2925.0,1678.0,2576.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,127.0,1454.0,2447.0,2685.0,3039.0,248.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,29.0,772.0,1721.0,4033.0,2447.0,987.0,7.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.0,37.0,201.0,685.0,391.0,8167.0,268.0,141.0,89.0,17.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,1.0,8.0,1.0,446.0,3772.0,2700.0,2212.0,715.0,36.0,34.0,55.0,16.0,1.0,3.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,61.0,2673.0,2744.0,2588.0,1369.0,125.0,171.0,189.0,75.0,2.0,3.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,9.0,1766.0,2278.0,2271.0,2182.0,356.0,422.0,486.0,204.0,11.0,15.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,3.0,992.0,1235.0,1716.0,2658.0,787.0,981.0,1015.0,511.0,39.0,57.0,6.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,354.0,521.0,714.0,1475.0,1685.0,1794.0,1919.0,1151.0,130.0,233.0,24.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.0,245.0,277.0,858.0,2128.0,1903.0,1986.0,1639.0,315.0,449.0,82.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,87.0,98.0,478.0,2210.0,1951.0,1717.0,1903.0,567.0,779.0,170.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,36.0,26.0,195.0,1615.0,1550.0,1372.0,2310.0,1117.0,1405.0,365.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,11.0,6.0,49.0,808.0,865.0,828.0,1412.0,2324.0,2644.0,1038.0,6.0,7.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,210.0,283.0,355.0,596.0,3538.0,2637.0,2308.0,37.0,32.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,39.0,46.0,76.0,181.0,1877.0,1693.0,5580.0,294.0,213.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,73.0,79.0,402.0,6085.0,3359.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,25.0,3577.0,6389.0
