Bayern Munich,Borussia Dortmund,TSG Hoffenheim,VfB Stuttgart,RB Leipzig,Bayer Leverkusen,Eintracht Frankfurt,SC Freiburg,FC Augsburg,Hamburg SV,1. FC Union Berlin,Borussia Mönchengladbach,FC Cologne,Werder Bremen,Mainz,St. Pauli,VfL Wolfsburg,1. FC Heidenheim 1846
9998.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,9593.0,283.0,33.0,87.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,369.0,5337.0,1274.0,2561.0,458.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,31.0,2701.0,2521.0,3133.0,1612.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,5.0,1264.0,3254.0,2438.0,3010.0,27.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,410.0,2817.0,1743.0,4775.0,232.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.0,97.0,37.0,138.0,7245.0,2161.0,124.0,56.0,110.0,10.0,6.0,5.0,6.0,0.0,0.0,0.0
0.0,0.0,0.0,4.0,1.0,5.0,2059.0,5712.0,666.0,450.0,784.0,165.0,46.0,25.0,75.0,8.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,341.0,1355.0,2249.0,1717.0,2306.0,978.0,373.0,225.0,395.0,56.0,5.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,69.0,458.0,1944.0,2069.0,2059.0,1402.0,744.0,434.0,653.0,159.0,9.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,19.0,195.0,1585.0,1872.0,1630.0,1669.0,1058.0,704.0,956.0,282.0,30.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,4.0,71.0,1308.0,1497.0,1211.0,1662.0,1432.0,971.0,1225.0,540.0,79.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.0,1067.0,1139.0,867.0,1508.0,1645.0,1309.0,1420.0,890.0,140.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,665.0,707.0,533.0,1308.0,1669.0,1750.0,1690.0,1358.0,312.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,279.0,365.0,323.0,846.0,1554.0,2173.0,1687.0,2050.0,718.0,3.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.0,122.0,154.0,369.0,1185.0,1748.0,1433.0,3241.0,1616.0,24.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,23.0,83.0,286.0,649.0,456.0,1395.0,6838.0,259.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,4.0,21.0,253.0,9713.0
