Barcelona,Real Madrid,Atlético Madrid,Villarreal,Real Betis,Celta Vigo,Espanyol,Real Sociedad,Getafe,Athletic Club,Osasuna,Girona,Valencia,Sevilla,Rayo Vallecano,Alavés,Elche,Mallorca,Levante,Real Oviedo
8206.0,1792.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1785.0,8110.0,83.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,93.0,5984.0,3909.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,5.0,3892.0,6005.0,72.0,24.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,39.0,61.0,6604.0,2643.0,70.0,441.0,22.0,8.0,95.0,7.0,0.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,3.0,2358.0,4843.0,357.0,1528.0,170.0,49.0,528.0,49.0,10.0,10.0,95.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,680.0,1682.0,1223.0,2969.0,732.0,243.0,1702.0,257.0,49.0,65.0,392.0,1.0,3.0,2.0,0.0,0.0
0.0,0.0,0.0,0.0,188.0,522.0,1853.0,1935.0,1237.0,533.0,2023.0,562.0,146.0,167.0,805.0,6.0,9.0,14.0,0.0,0.0
0.0,0.0,0.0,0.0,67.0,176.0,1893.0,1255.0,1475.0,839.0,1645.0,847.0,270.0,294.0,1146.0,22.0,28.0,42.0,1.0,0.0
0.0,0.0,0.0,0.0,22.0,68.0,1452.0,768.0,1609.0,1107.0,1196.0,1212.0,483.0,513.0,1395.0,47.0,60.0,65.0,3.0,0.0
0.0,0.0,0.0,0.0,4.0,24.0,1166.0,486.0,1458.0,1372.0,903.0,1391.0,638.0,769.0,1374.0,113.0,133.0,164.0,5.0,0.0
0.0,0.0,0.0,0.0,0.0,9.0,804.0,299.0,1190.0,1489.0,744.0,1432.0,931.0,1045.0,1307.0,200.0,267.0,274.0,9.0,0.0
0.0,0.0,0.0,0.0,0.0,7.0,550.0,169.0,881.0,1454.0,504.0,1395.0,1243.0,1362.0,1175.0,368.0,433.0,444.0,15.0,0.0
0.0,0.0,0.0,0.0,0.0,2.0,355.0,89.0,643.0,1253.0,364.0,1193.0,1413.0,1648.0,936.0,616.0,724.0,690.0,71.0,3.0
0.0,0.0,0.0,0.0,0.0,0.0,192.0,44.0,332.0,877.0,160.0,830.0,1663.0,1654.0,652.0,1111.0,1233.0,1107.0,138.0,7.0
0.0,0.0,0.0,0.0,0.0,0.0,70.0,14.0,169.0,498.0,84.0,504.0,1514.0,1227.0,397.0,1864.0,1786.0,1552.0,288.0,33.0
0.0,0.0,0.0,0.0,0.0,0.0,11.0,1.0,63.0,215.0,32.0,233.0,999.0,771.0,227.0,2368.0,2170.0,2051.0,752.0,107.0
0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,17.0,56.0,18.0,82.0,537.0,379.0,76.0,2325.0,2093.0,2335.0,1664.0,414.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,2.0,6.0,101.0,90.0,13.0,862.0,907.0,1076.0,5112.0,1822.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,1.0,97.0,154.0,184.0,1942.0,7614.0
