Paris Saint-Germain,Lens,Marseille,Lyon,AS Monaco,Stade Rennais,Lille,Lorient,Strasbourg,Brest,Angers,Toulouse,Paris FC,Nice,Le Havre AC,AJ Auxerre,Nantes,Metz
8666.0,1330.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1314.0,8084.0,494.0,96.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19.0,530.0,7000.0,1600.0,241.0,512.0,90.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,55.0,1838.0,4550.0,1188.0,1796.0,446.0,5.0,119.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.0,489.0,2144.0,2473.0,3015.0,1223.0,37.0,601.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,146.0,1083.0,2870.0,2486.0,2061.0,135.0,1170.0,44.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,29.0,407.0,1877.0,1397.0,3168.0,574.0,2178.0,314.0,3.0,50.0,3.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,2.0,102.0,1024.0,652.0,2194.0,1650.0,3086.0,1012.0,18.0,254.0,5.0,0.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,15.0,273.0,107.0,659.0,3545.0,1663.0,2666.0,124.0,899.0,37.0,3.0,9.0,0.0,0.0,0.0
0.0,0.0,0.0,1.0,48.0,25.0,139.0,2736.0,868.0,3506.0,487.0,1989.0,125.0,13.0,63.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,4.0,0.0,20.0,1091.0,258.0,1745.0,1751.0,4042.0,584.0,135.0,370.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,195.0,38.0,582.0,4167.0,1819.0,1514.0,527.0,1151.0,7.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,9.0,96.0,2204.0,680.0,3160.0,1520.0,2262.0,38.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,16.0,944.0,223.0,2648.0,2989.0,2995.0,167.0,14.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,297.0,39.0,1778.0,4333.0,2809.0,665.0,67.0,12.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,143.0,466.0,329.0,6988.0,1804.0,265.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,14.0,11.0,1932.0,6210.0,1830.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,203.0,1904.0,7893.0
