Arsenal,Manchester City,Manchester United,Aston Villa,Chelsea,Liverpool,Brentford,Everton,Newcastle United,AFC Bournemouth,Brighton & Hove Albion,Fulham,Sunderland,Crystal Palace,Leeds United,Tottenham Hotspur,West Ham United,Nottingham Forest,Burnley,Wolverhampton Wanderers
9778.0,222.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
222.0,9484.0,175.0,80.0,13.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,273.0,5017.0,2063.0,1095.0,1475.0,69.0,2.0,1.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,21.0,2328.0,2782.0,2028.0,2504.0,287.0,20.0,13.0,1.0,10.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1421.0,2514.0,2548.0,2502.0,755.0,87.0,82.0,3.0,52.0,30.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,758.0,1796.0,2570.0,2123.0,1638.0,313.0,338.0,68.0,205.0,145.0,30.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,243.0,564.0,1073.0,902.0,3380.0,866.0,1292.0,276.0,680.0,485.0,129.0,108.0,2.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,42.0,146.0,454.0,294.0,1767.0,1548.0,2089.0,721.0,1351.0,983.0,359.0,239.0,7.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,14.0,46.0,141.0,122.0,933.0,1930.0,1737.0,1074.0,1678.0,1279.0,612.0,413.0,20.0,1.0,0.0,0.0,0.0,0.0
0.0,0.0,2.0,8.0,62.0,34.0,580.0,1629.0,1466.0,1450.0,1680.0,1483.0,904.0,623.0,70.0,5.0,0.0,4.0,0.0,0.0
0.0,0.0,0.0,1.0,11.0,15.0,327.0,1375.0,1172.0,1648.0,1521.0,1560.0,1275.0,954.0,116.0,13.0,3.0,9.0,0.0,0.0
0.0,0.0,0.0,0.0,4.0,3.0,154.0,1033.0,844.0,1726.0,1231.0,1543.0,1693.0,1420.0,280.0,40.0,4.0,25.0,0.0,0.0
0.0,0.0,0.0,0.0,1.0,0.0,84.0,751.0,607.0,1512.0,892.0,1315.0,2137.0,1963.0,571.0,89.0,17.0,61.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,22.0,384.0,318.0,1116.0,527.0,936.0,2100.0,2720.0,1291.0,311.0,90.0,185.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,4.0,58.0,36.0,362.0,153.0,203.0,628.0,1240.0,3924.0,1856.0,571.0,965.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,38.0,17.0,25.0,116.0,252.0,2256.0,3108.0,1605.0,2573.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,4.0,11.0,42.0,1036.0,2610.0,2973.0,3283.0,31.0,3.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,422.0,1937.0,4667.0,2790.0,147.0,28.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,30.0,70.0,105.0,7688.0,2102.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2134.0,7866.0
