Internazionale,AC Milan,Napoli,Juventus,Como,AS Roma,Atalanta,Bologna,Sassuolo,Lazio,Udinese,Parma,Torino,Genoa,Cagliari,Lecce,Fiorentina,Cremonese,Hellas Verona,Pisa
9593.0,386.0,17.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
394.0,7450.0,1470.0,241.0,392.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13.0,1512.0,4378.0,1480.0,1992.0,622.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,457.0,2206.0,2914.0,2911.0,1477.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,160.0,1360.0,3226.0,2530.0,2538.0,186.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,34.0,549.0,1922.0,1985.0,4568.0,942.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.0,20.0,217.0,184.0,735.0,8386.0,240.0,143.0,64.0,7.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,3.0,6.0,381.0,3954.0,2721.0,2339.0,418.0,31.0,54.0,69.0,24.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,58.0,2588.0,2906.0,2762.0,1052.0,140.0,190.0,222.0,77.0,0.0,3.0,2.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,8.0,1863.0,2314.0,2362.0,1796.0,345.0,481.0,537.0,270.0,6.0,17.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,901.0,1099.0,1445.0,2804.0,887.0,970.0,1128.0,667.0,21.0,68.0,9.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,290.0,510.0,628.0,1703.0,1658.0,1723.0,1921.0,1228.0,68.0,235.0,36.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.0,186.0,260.0,1090.0,2195.0,1994.0,1908.0,1545.0,162.0,460.0,87.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,82.0,107.0,686.0,2157.0,1902.0,1770.0,1870.0,456.0,761.0,164.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,35.0,28.0,337.0,1643.0,1673.0,1313.0,2255.0,917.0,1399.0,392.0,1.0,2.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,4.0,89.0,741.0,781.0,764.0,1347.0,2314.0,2890.0,1045.0,11.0,9.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,15.0,184.0,196.0,302.0,560.0,3746.0,2484.0,2425.0,48.0,39.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,19.0,35.0,64.0,153.0,2196.0,1582.0,5397.0,313.0,238.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,108.0,98.0,411.0,6042.0,3337.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,31.0,3585.0,6375.0
