Bayern Munich,Borussia Dortmund,TSG Hoffenheim,VfB Stuttgart,RB Leipzig,Bayer Leverkusen,Eintracht Frankfurt,SC Freiburg,1. FC Union Berlin,FC Augsburg,Hamburg SV,Borussia Mönchengladbach,Mainz,FC Cologne,Werder Bremen,St. Pauli,VfL Wolfsburg,1. FC Heidenheim 1846
10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,9651.0,237.0,85.0,19.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,319.0,5170.0,2734.0,1330.0,447.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,25.0,2518.0,3551.0,2413.0,1489.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,5.0,1473.0,2444.0,3323.0,2736.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,598.0,1150.0,2840.0,5163.0,240.0,7.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,4.0,36.0,74.0,154.0,7782.0,1258.0,315.0,185.0,108.0,26.0,53.0,5.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1.0,3.0,1423.0,4841.0,1794.0,725.0,548.0,205.0,367.0,77.0,11.0,5.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,367.0,2204.0,2761.0,1580.0,1189.0,627.0,852.0,347.0,30.0,41.0,2.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,121.0,969.0,1914.0,1890.0,1775.0,1124.0,1310.0,651.0,120.0,115.0,11.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,32.0,444.0,1365.0,1647.0,1926.0,1396.0,1637.0,1035.0,250.0,251.0,17.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,11.0,172.0,875.0,1525.0,1698.0,1651.0,1723.0,1397.0,448.0,433.0,67.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,81.0,561.0,1229.0,1292.0,1811.0,1540.0,1749.0,815.0,778.0,142.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,295.0,828.0,875.0,1717.0,1302.0,1852.0,1496.0,1289.0,327.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,94.0,300.0,443.0,945.0,780.0,1520.0,2642.0,2424.0,844.0,3.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,86.0,139.0,415.0,372.0,1081.0,2866.0,3170.0,1835.0,13.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,7.0,82.0,64.0,278.0,1306.0,1471.0,6545.0,241.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,16.0,23.0,210.0,9742.0
