Barcelona,Real Madrid,Atlético Madrid,Villarreal,Real Betis,Celta Vigo,Real Sociedad,Espanyol,Getafe,Athletic Club,Osasuna,Girona,Valencia,Sevilla,Rayo Vallecano,Mallorca,Alavés,Elche,Levante,Real Oviedo
8583.0,1417.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1414.0,8469.0,98.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,108.0,6024.0,3863.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,6.0,3847.0,6072.0,54.0,16.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,31.0,39.0,6244.0,2557.0,1009.0,32.0,29.0,8.0,38.0,7.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,6.0,2528.0,4589.0,2163.0,156.0,171.0,44.0,206.0,47.0,10.0,3.0,77.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,1.0,907.0,2142.0,4014.0,671.0,637.0,185.0,763.0,222.0,33.0,23.0,388.0,11.0,1.0,2.0,0.0,0.0
0.0,0.0,0.0,0.0,186.0,499.0,1525.0,1645.0,1467.0,644.0,2054.0,624.0,170.0,102.0,1031.0,34.0,8.0,11.0,0.0,0.0
0.0,0.0,0.0,0.0,65.0,128.0,655.0,1752.0,1565.0,990.0,1797.0,960.0,322.0,215.0,1359.0,132.0,32.0,28.0,0.0,0.0
0.0,0.0,0.0,0.0,12.0,47.0,321.0,1570.0,1619.0,1191.0,1406.0,1196.0,471.0,377.0,1438.0,221.0,51.0,76.0,4.0,0.0
0.0,0.0,0.0,0.0,2.0,11.0,161.0,1363.0,1400.0,1451.0,1126.0,1364.0,698.0,504.0,1286.0,368.0,114.0,149.0,3.0,0.0
0.0,0.0,0.0,0.0,0.0,10.0,83.0,1071.0,1115.0,1435.0,928.0,1486.0,902.0,773.0,1132.0,532.0,239.0,281.0,13.0,0.0
0.0,0.0,0.0,0.0,0.0,1.0,39.0,813.0,862.0,1433.0,701.0,1297.0,1132.0,1045.0,1034.0,774.0,373.0,464.0,31.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,15.0,501.0,563.0,1084.0,455.0,1062.0,1480.0,1474.0,826.0,1170.0,576.0,734.0,59.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,7.0,257.0,322.0,791.0,277.0,781.0,1555.0,1665.0,631.0,1442.0,1015.0,1121.0,124.0,12.0
0.0,0.0,0.0,0.0,0.0,0.0,3.0,109.0,153.0,454.0,157.0,535.0,1451.0,1586.0,407.0,1720.0,1549.0,1557.0,288.0,31.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,75.0,211.0,65.0,289.0,1071.0,1267.0,253.0,1729.0,2189.0,2051.0,626.0,127.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,18.0,75.0,25.0,115.0,581.0,738.0,109.0,1344.0,2750.0,2308.0,1571.0,353.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,2.0,15.0,122.0,223.0,23.0,460.0,970.0,1044.0,5299.0,1834.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,0.0,63.0,133.0,174.0,1982.0,7641.0
