Paris Saint-Germain,Lens,Marseille,Lyon,Lille,AS Monaco,Stade Rennais,Strasbourg,Lorient,Brest,Toulouse,Angers,Paris FC,Le Havre AC,Nice,AJ Auxerre,Nantes,Metz
8720.0,1275.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1262.0,8192.0,502.0,39.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18.0,498.0,7521.0,1297.0,241.0,243.0,181.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,34.0,1483.0,4960.0,1179.0,1354.0,911.0,69.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.0,347.0,2070.0,2618.0,2591.0,1890.0,442.0,30.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,112.0,1064.0,2525.0,2377.0,2792.0,910.0,118.0,89.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,29.0,437.0,2313.0,2038.0,2697.0,1636.0,487.0,287.0,74.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0,118.0,884.0,1084.0,1206.0,3313.0,1827.0,1112.0,446.0,7.0,1.0,0.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,12.0,195.0,262.0,266.0,2041.0,3098.0,2572.0,1414.0,112.0,20.0,7.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,3.0,40.0,44.0,52.0,1067.0,2677.0,3094.0,2481.0,397.0,94.0,41.0,10.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1.0,7.0,4.0,434.0,1503.0,2141.0,3958.0,1261.0,373.0,224.0,94.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,218.0,564.0,1222.0,4561.0,1646.0,1181.0,522.0,6.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,32.0,109.0,333.0,2364.0,3411.0,2312.0,1402.0,29.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,18.0,55.0,1012.0,2632.0,3143.0,2948.0,175.0,14.0,2.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,281.0,1692.0,2781.0,4518.0,649.0,68.0,4.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,127.0,305.0,492.0,7021.0,1914.0,139.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,12.0,1972.0,6577.0,1429.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148.0,1426.0,8426.0
