Internazionale,AC Milan,Napoli,Como,Juventus,AS Roma,Atalanta,Bologna,Lazio,Sassuolo,Udinese,Parma,Genoa,Torino,Cagliari,Lecce,Fiorentina,Cremonese,Pisa,Hellas Verona
9875.0,107.0,16.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122.0,6133.0,2242.0,1095.0,389.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,2228.0,3404.0,2795.0,1359.0,206.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1020.0,2379.0,3107.0,2786.0,669.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,432.0,1466.0,2191.0,3680.0,2012.0,219.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,77.0,473.0,755.0,1574.0,5833.0,1263.0,18.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,3.0,20.0,55.0,211.0,1237.0,7742.0,485.0,201.0,39.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1.0,24.0,622.0,5035.0,3096.0,817.0,289.0,15.0,75.0,22.0,2.0,1.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,97.0,2780.0,3665.0,2014.0,876.0,95.0,339.0,119.0,8.0,1.0,5.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,12.0,1172.0,1927.0,3362.0,1748.0,308.0,969.0,404.0,76.0,5.0,16.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,397.0,781.0,2060.0,2876.0,715.0,1939.0,916.0,245.0,17.0,47.0,6.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.0,232.0,950.0,2109.0,1638.0,2520.0,1590.0,571.0,64.0,209.0,25.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,73.0,474.0,1179.0,2212.0,1931.0,2201.0,1183.0,181.0,467.0,79.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16.0,221.0,602.0,2428.0,1259.0,2185.0,1906.0,407.0,816.0,159.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,53.0,233.0,1637.0,622.0,1547.0,2749.0,1086.0,1616.0,452.0,3.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,67.0,718.0,265.0,774.0,2061.0,2265.0,2793.0,1024.0,21.0,2.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,210.0,72.0,210.0,890.0,3777.0,2447.0,2231.0,133.0,15.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,8.0,32.0,302.0,2040.0,1493.0,5358.0,634.0,109.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,152.0,87.0,622.0,6721.0,2411.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,42.0,2488.0,7463.0
