Arsenal,Manchester City,Manchester United,Aston Villa,Liverpool,Chelsea,Brentford,Everton,Newcastle United,AFC Bournemouth,Fulham,Brighton & Hove Albion,Sunderland,Crystal Palace,Leeds United,Tottenham Hotspur,Nottingham Forest,West Ham United,Burnley,Wolverhampton Wanderers
9750.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
250.0,9455.0,256.0,28.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,279.0,6753.0,932.0,845.0,1157.0,24.0,6.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,15.0,1923.0,2981.0,2265.0,2517.0,216.0,32.0,29.0,4.0,5.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.0,731.0,2859.0,2578.0,2818.0,605.0,151.0,126.0,16.0,39.0,70.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,286.0,2114.0,2481.0,2127.0,1460.0,447.0,495.0,105.0,152.0,259.0,58.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,45.0,770.0,1073.0,824.0,2784.0,1111.0,1438.0,378.0,553.0,778.0,163.0,82.0,1.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,6.0,233.0,443.0,315.0,1929.0,1536.0,1997.0,734.0,919.0,1392.0,324.0,167.0,5.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,62.0,194.0,144.0,1264.0,1778.0,1742.0,1080.0,1252.0,1526.0,607.0,331.0,20.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,15.0,79.0,57.0,800.0,1585.0,1377.0,1424.0,1502.0,1658.0,881.0,563.0,50.0,9.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,5.0,29.0,26.0,486.0,1350.0,1145.0,1630.0,1623.0,1537.0,1202.0,856.0,90.0,13.0,4.0,4.0,0.0,0.0
0.0,0.0,0.0,1.0,11.0,4.0,279.0,1018.0,804.0,1746.0,1624.0,1232.0,1647.0,1353.0,218.0,48.0,10.0,5.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,2.0,114.0,608.0,532.0,1498.0,1354.0,897.0,2184.0,2082.0,542.0,129.0,35.0,23.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,37.0,318.0,263.0,1017.0,786.0,485.0,2137.0,3022.0,1278.0,428.0,125.0,104.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,2.0,56.0,45.0,327.0,181.0,126.0,641.0,1236.0,3895.0,2264.0,700.0,527.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,36.0,10.0,27.0,135.0,245.0,2471.0,3362.0,2157.0,1546.0,2.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,14.0,43.0,1042.0,2305.0,3552.0,3013.0,25.0,3.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,385.0,1427.0,3350.0,4686.0,124.0,23.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,15.0,67.0,91.0,7545.0,2279.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2304.0,7695.0
