Internazionale,AC Milan,Napoli,Como,Juventus,AS Roma,Atalanta,Bologna,Lazio,Sassuolo,Udinese,Parma,Genoa,Torino,Cagliari,Fiorentina,Lecce,Cremonese,Pisa,Hellas Verona
9862.0,102.0,32.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
133.0,5758.0,2663.0,987.0,431.0,27.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,2493.0,3449.0,2427.0,1392.0,233.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1082.0,2194.0,3162.0,2781.0,739.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,469.0,1281.0,2445.0,3660.0,1942.0,203.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,92.0,368.0,901.0,1558.0,5907.0,1159.0,8.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,4.0,13.0,76.0,174.0,1118.0,7845.0,508.0,228.0,26.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,2.0,31.0,636.0,4944.0,3163.0,803.0,318.0,25.0,59.0,17.0,2.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,3.0,103.0,2859.0,3635.0,1927.0,948.0,92.0,299.0,110.0,14.0,10.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,7.0,1192.0,1830.0,3440.0,1826.0,311.0,869.0,413.0,57.0,51.0,4.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,3.0,385.0,794.0,2034.0,2997.0,774.0,1796.0,863.0,172.0,155.0,24.0,3.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.0,254.0,1028.0,1954.0,1466.0,2488.0,1552.0,558.0,515.0,86.0,7.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,68.0,453.0,1105.0,2183.0,1961.0,2016.0,1090.0,917.0,163.0,33.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,193.0,559.0,2395.0,1325.0,2046.0,1620.0,1420.0,367.0,54.0,2.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,72.0,221.0,1608.0,733.0,1652.0,2347.0,2232.0,922.0,204.0,6.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,60.0,904.0,355.0,1054.0,2665.0,2589.0,1820.0,516.0,16.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,230.0,105.0,244.0,1172.0,1670.0,4660.0,1735.0,158.0,18.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,9.0,32.0,299.0,431.0,1817.0,6390.0,889.0,121.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,10.0,132.0,999.0,6656.0,2198.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,59.0,2273.0,7663.0
