Barcelona,Real Madrid,Atlético Madrid,Villarreal,Real Betis,Celta Vigo,Real Sociedad,Espanyol,Getafe,Athletic Club,Osasuna,Girona,Rayo Vallecano,Valencia,Sevilla,Mallorca,Alavés,Elche,Levante,Real Oviedo
8661.0,1337.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1337.0,8545.0,95.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,111.0,5976.0,3907.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,7.0,3909.0,6031.0,41.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,18.0,38.0,6114.0,2689.0,980.0,63.0,18.0,13.0,54.0,5.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,1.0,2586.0,4544.0,2138.0,203.0,136.0,71.0,226.0,45.0,34.0,13.0,2.0,1.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,969.0,2038.0,3957.0,764.0,540.0,303.0,833.0,261.0,237.0,50.0,30.0,15.0,1.0,2.0,0.0,0.0
0.0,0.0,0.0,0.0,211.0,504.0,1495.0,1795.0,1310.0,865.0,1998.0,674.0,753.0,196.0,94.0,77.0,12.0,15.0,1.0,0.0
0.0,0.0,0.0,0.0,55.0,141.0,725.0,1851.0,1486.0,1150.0,1782.0,1016.0,1028.0,342.0,216.0,143.0,29.0,34.0,2.0,0.0
0.0,0.0,0.0,0.0,11.0,43.0,373.0,1539.0,1552.0,1358.0,1412.0,1230.0,1234.0,498.0,336.0,264.0,57.0,91.0,2.0,0.0
0.0,0.0,0.0,0.0,5.0,20.0,173.0,1280.0,1311.0,1388.0,1169.0,1402.0,1257.0,713.0,535.0,424.0,135.0,183.0,5.0,0.0
0.0,0.0,0.0,0.0,1.0,4.0,85.0,940.0,1204.0,1451.0,919.0,1306.0,1282.0,955.0,785.0,520.0,226.0,309.0,13.0,0.0
0.0,0.0,0.0,0.0,3.0,5.0,50.0,726.0,967.0,1207.0,610.0,1302.0,1181.0,1200.0,1050.0,797.0,367.0,509.0,25.0,1.0
0.0,0.0,0.0,0.0,0.0,1.0,13.0,447.0,659.0,1008.0,436.0,1060.0,1045.0,1392.0,1392.0,1084.0,626.0,760.0,76.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,8.0,256.0,454.0,584.0,303.0,781.0,802.0,1485.0,1642.0,1454.0,929.0,1141.0,154.0,7.0
0.0,0.0,0.0,0.0,0.0,0.0,2.0,88.0,225.0,360.0,166.0,524.0,581.0,1424.0,1589.0,1661.0,1447.0,1576.0,324.0,33.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,104.0,183.0,69.0,271.0,368.0,1050.0,1317.0,1679.0,2159.0,2009.0,672.0,81.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,31.0,51.0,17.0,105.0,154.0,539.0,766.0,1328.0,2790.0,2172.0,1693.0,344.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,8.0,6.0,17.0,39.0,136.0,231.0,513.0,1086.0,1020.0,5262.0,1679.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,15.0,40.0,136.0,179.0,1771.0,7854.0
