Bayern Munich,Borussia Dortmund,RB Leipzig,VfB Stuttgart,TSG Hoffenheim,Bayer Leverkusen,Eintracht Frankfurt,SC Freiburg,1. FC Union Berlin,FC Augsburg,Hamburg SV,Borussia Mönchengladbach,Mainz,FC Cologne,Werder Bremen,St. Pauli,VfL Wolfsburg,1. FC Heidenheim 1846
9997.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,9831.0,50.0,72.0,37.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,139.0,3955.0,3136.0,2170.0,599.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,24.0,3232.0,2998.0,2550.0,1193.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,3.0,1899.0,2455.0,3198.0,2434.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,858.0,1320.0,2028.0,5596.0,190.0,6.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,6.0,19.0,17.0,167.0,7654.0,1329.0,331.0,266.0,116.0,19.0,68.0,7.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,4.0,1482.0,4611.0,1614.0,923.0,585.0,236.0,445.0,86.0,6.0,7.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,458.0,2162.0,2639.0,1665.0,1160.0,634.0,886.0,317.0,30.0,47.0,2.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,146.0,1044.0,2013.0,1844.0,1709.0,1119.0,1266.0,640.0,105.0,101.0,13.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,34.0,494.0,1388.0,1665.0,1885.0,1444.0,1614.0,1037.0,218.0,205.0,16.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,19.0,233.0,983.0,1504.0,1663.0,1606.0,1655.0,1398.0,426.0,441.0,72.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,2.0,90.0,556.0,1057.0,1357.0,1802.0,1604.0,1756.0,812.0,812.0,152.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,349.0,727.0,917.0,1608.0,1294.0,1903.0,1413.0,1386.0,375.0,2.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,100.0,274.0,448.0,998.0,756.0,1511.0,2672.0,2382.0,850.0,4.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,69.0,142.0,458.0,349.0,1063.0,2916.0,3088.0,1868.0,24.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,17.0,74.0,63.0,281.0,1386.0,1509.0,6430.0,231.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,15.0,22.0,221.0,9739.0
