Barcelona,Real Madrid,Villarreal,Atlético Madrid,Real Betis,Celta Vigo,Real Sociedad,Espanyol,Getafe,Athletic Club,Osasuna,Girona,Rayo Vallecano,Valencia,Sevilla,Mallorca,Alavés,Elche,Levante,Real Oviedo
8688.0,1311.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1307.0,8574.0,40.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,110.0,4992.0,4892.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,5.0,4957.0,5006.0,27.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,11.0,22.0,6649.0,2603.0,547.0,53.0,24.0,17.0,52.0,15.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,2425.0,5108.0,1543.0,254.0,175.0,92.0,281.0,64.0,48.0,5.0,4.0,1.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,660.0,1652.0,3855.0,1035.0,649.0,355.0,1068.0,297.0,302.0,70.0,36.0,16.0,1.0,4.0,0.0,0.0
0.0,0.0,0.0,0.0,181.0,418.0,1918.0,1728.0,1272.0,844.0,1904.0,671.0,713.0,179.0,91.0,55.0,14.0,11.0,1.0,0.0
0.0,0.0,0.0,0.0,37.0,140.0,965.0,1768.0,1410.0,1159.0,1723.0,997.0,1056.0,333.0,211.0,117.0,37.0,46.0,1.0,0.0
0.0,0.0,0.0,0.0,15.0,52.0,537.0,1504.0,1451.0,1262.0,1387.0,1282.0,1243.0,533.0,330.0,254.0,53.0,97.0,0.0,0.0
0.0,0.0,0.0,0.0,4.0,11.0,305.0,1248.0,1430.0,1400.0,1084.0,1310.0,1302.0,737.0,529.0,350.0,102.0,185.0,3.0,0.0
0.0,0.0,0.0,0.0,1.0,6.0,165.0,950.0,1205.0,1382.0,888.0,1359.0,1213.0,931.0,805.0,555.0,218.0,312.0,10.0,0.0
0.0,0.0,0.0,0.0,0.0,5.0,90.0,649.0,973.0,1227.0,643.0,1307.0,1202.0,1200.0,1082.0,747.0,382.0,462.0,31.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,52.0,449.0,643.0,941.0,429.0,1064.0,1094.0,1389.0,1424.0,1075.0,631.0,729.0,75.0,5.0
0.0,0.0,0.0,0.0,0.0,0.0,16.0,227.0,418.0,629.0,281.0,776.0,787.0,1537.0,1624.0,1407.0,953.0,1188.0,147.0,10.0
0.0,0.0,0.0,0.0,0.0,0.0,3.0,103.0,238.0,408.0,166.0,473.0,531.0,1333.0,1612.0,1772.0,1480.0,1504.0,352.0,25.0
0.0,0.0,0.0,0.0,0.0,0.0,4.0,27.0,83.0,221.0,78.0,276.0,311.0,1041.0,1256.0,1725.0,2190.0,1955.0,738.0,95.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,27.0,58.0,14.0,98.0,163.0,590.0,751.0,1322.0,2698.0,2266.0,1661.0,347.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,2.0,11.0,29.0,117.0,227.0,546.0,1109.0,1052.0,5304.0,1596.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,17.0,58.0,132.0,189.0,1677.0,7922.0
