Lens,Paris Saint-Germain,Marseille,Lyon,Lille,AS Monaco,Stade Rennais,Strasbourg,Lorient,Brest,Toulouse,Angers,Paris FC,Le Havre AC,Nice,AJ Auxerre,Nantes,Metz
1578.0,8416.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8086.0,1550.0,343.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
320.0,34.0,7874.0,1116.0,243.0,217.0,194.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16.0,0.0,1280.0,4925.0,1264.0,1342.0,1123.0,47.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,367.0,2142.0,2597.0,2361.0,2220.0,276.0,23.0,12.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,100.0,1132.0,2601.0,2434.0,2894.0,688.0,81.0,54.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,25.0,548.0,2360.0,2397.0,2521.0,1506.0,345.0,216.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.0,105.0,816.0,985.0,862.0,3661.0,1714.0,1215.0,624.0,10.0,3.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,12.0,102.0,202.0,156.0,2101.0,3098.0,2556.0,1685.0,46.0,29.0,9.0,4.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,14.0,53.0,29.0,1102.0,2653.0,3072.0,2628.0,226.0,167.0,39.0,17.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,2.0,9.0,1.0,546.0,1779.0,2257.0,3673.0,764.0,614.0,240.0,114.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,262.0,510.0,977.0,3172.0,2772.0,1464.0,772.0,11.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,39.0,92.0,242.0,3105.0,2827.0,2051.0,1588.0,44.0,2.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,15.0,64.0,1891.0,2178.0,2793.0,2902.0,144.0,9.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,757.0,1298.0,3026.0,4105.0,740.0,63.0,2.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,112.0,367.0,491.0,7158.0,1732.0,112.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,7.0,1775.0,6907.0,1300.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.0,1287.0,8586.0
