Internazionale,Napoli,AC Milan,Como,Juventus,AS Roma,Atalanta,Bologna,Lazio,Udinese,Sassuolo,Parma,Torino,Genoa,Cagliari,Fiorentina,Lecce,Cremonese,Pisa,Hellas Verona
9829.0,47.0,119.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
162.0,3240.0,5331.0,885.0,373.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,3579.0,2732.0,2334.0,1196.0,149.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,2016.0,1298.0,3443.0,2613.0,591.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,970.0,449.0,2397.0,4073.0,1898.0,212.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,146.0,66.0,869.0,1572.0,6051.0,1264.0,28.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,2.0,5.0,68.0,172.0,1277.0,7717.0,522.0,194.0,25.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,23.0,651.0,4811.0,2883.0,830.0,766.0,12.0,14.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,2.0,101.0,2657.0,3413.0,1841.0,1750.0,83.0,78.0,60.0,4.0,11.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,13.0,1329.0,2054.0,2762.0,2990.0,220.0,318.0,259.0,15.0,38.0,2.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,557.0,1140.0,3034.0,2840.0,645.0,763.0,747.0,92.0,160.0,22.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,2.0,86.0,252.0,975.0,1009.0,1939.0,2038.0,2415.0,460.0,715.0,97.0,12.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,48.0,373.0,407.0,2359.0,2204.0,2365.0,864.0,1118.0,224.0,30.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,132.0,171.0,2191.0,2023.0,1971.0,1382.0,1525.0,497.0,94.0,2.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,24.0,38.0,1549.0,1472.0,1225.0,2112.0,2318.0,1026.0,232.0,3.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,9.0,778.0,858.0,656.0,2985.0,2156.0,1971.0,558.0,23.0,2.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,209.0,204.0,275.0,1636.0,1528.0,4352.0,1636.0,152.0,7.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,15.0,28.0,18.0,442.0,413.0,1664.0,6337.0,950.0,132.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,17.0,141.0,1043.0,6627.0,2164.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,58.0,2243.0,7695.0
