Barcelona,Real Madrid,Villarreal,Atlético Madrid,Real Betis,Celta Vigo,Real Sociedad,Getafe,Athletic Club,Osasuna,Espanyol,Valencia,Girona,Rayo Vallecano,Sevilla,Alavés,Elche,Mallorca,Levante,Real Oviedo
8413.0,1586.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1586.0,8391.0,16.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,19.0,6291.0,3689.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,4.0,3691.0,6291.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0,12.0,7032.0,1476.0,885.0,203.0,65.0,233.0,52.0,23.0,16.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,1.0,1863.0,3744.0,1977.0,801.0,388.0,779.0,222.0,110.0,46.0,64.0,1.0,1.0,2.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,692.0,2236.0,2519.0,1341.0,743.0,1321.0,500.0,257.0,159.0,198.0,5.0,23.0,6.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,254.0,1265.0,1704.0,1742.0,1137.0,1827.0,805.0,453.0,312.0,392.0,20.0,55.0,20.0,12.0,2.0,0.0
0.0,0.0,0.0,0.0,90.0,659.0,1155.0,1781.0,1377.0,1620.0,1183.0,752.0,524.0,639.0,37.0,129.0,35.0,18.0,1.0,0.0
0.0,0.0,0.0,0.0,37.0,304.0,723.0,1454.0,1490.0,1398.0,1381.0,1005.0,798.0,937.0,86.0,217.0,118.0,49.0,3.0,0.0
0.0,0.0,0.0,0.0,12.0,189.0,474.0,1047.0,1380.0,1049.0,1497.0,1254.0,1023.0,1151.0,183.0,401.0,201.0,129.0,10.0,0.0
0.0,0.0,0.0,0.0,6.0,90.0,254.0,729.0,1312.0,736.0,1362.0,1426.0,1292.0,1290.0,295.0,644.0,343.0,194.0,27.0,0.0
0.0,0.0,0.0,0.0,1.0,25.0,163.0,451.0,930.0,516.0,1192.0,1495.0,1423.0,1409.0,479.0,934.0,571.0,347.0,64.0,0.0
0.0,0.0,0.0,0.0,0.0,7.0,78.0,245.0,610.0,308.0,873.0,1271.0,1483.0,1279.0,801.0,1423.0,905.0,590.0,127.0,0.0
0.0,0.0,0.0,0.0,0.0,2.0,42.0,133.0,359.0,140.0,554.0,929.0,1202.0,1049.0,1307.0,1781.0,1330.0,897.0,274.0,1.0
0.0,0.0,0.0,0.0,0.0,2.0,19.0,52.0,151.0,48.0,239.0,568.0,853.0,795.0,1911.0,1658.0,1713.0,1404.0,572.0,15.0
0.0,0.0,0.0,0.0,0.0,0.0,5.0,17.0,49.0,20.0,106.0,305.0,538.0,484.0,2107.0,1367.0,1954.0,2007.0,996.0,45.0
0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,9.0,4.0,28.0,127.0,268.0,255.0,1860.0,990.0,1803.0,2577.0,1941.0,132.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,25.0,63.0,56.0,856.0,358.0,935.0,1610.0,5392.0,698.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,52.0,18.0,64.0,165.0,591.0,9109.0
