home_team,away_team,p_home_book,p_draw_book,p_away_book
1. FC Heidenheim,Union Berlin,0.2848461167204447,0.2677340974774054,0.4474197858021499
1. FC Köln,Werder Bremen,0.4303625066050286,0.26442949774222096,0.3052079956527505
Augsburg,TSG Hoffenheim,0.294423648570097,0.26135979409358595,0.44421655733631715
Bayer Leverkusen,VfL Wolfsburg,0.6712154715612563,0.1890760988877659,0.13970842955097793
Borussia Dortmund,Bayer Leverkusen,0.4917250327011512,0.24688859283755413,0.26138637446129465
Borussia Monchengladbach,1. FC Heidenheim,0.6069014321589585,0.2192321155187993,0.17386645232224224
Eintracht Frankfurt,1. FC Köln,0.43972190727799076,0.26433903310095874,0.2959390596210505
FC St. Pauli,Bayern Munich,0.10882760420302828,0.1752874554051095,0.7158849403918622
FSV Mainz 05,SC Freiburg,0.45230218565824815,0.27252733472147933,0.2751704796202725
Hamburger SV,Augsburg,0.42148813761583453,0.2732612486977619,0.30525061368640355
RB Leipzig,Borussia Monchengladbach,0.6169014089743191,0.20773110844423645,0.17536748258144458
SC Freiburg,Bayern Munich,0.14206854128314073,0.18504291306634313,0.672888545650516
TSG Hoffenheim,FSV Mainz 05,0.539422461036498,0.23666418769696085,0.22391335126654116
Union Berlin,FC St. Pauli,0.4472765485943506,0.29509042354310244,0.25763302786254694
VfB Stuttgart,Borussia Dortmund,0.3973272949839856,0.2447282539129826,0.3579444511030318
VfB Stuttgart,Hamburger SV,0.6388779397274303,0.20511922632652552,0.15600283394604417
VfL Wolfsburg,Eintracht Frankfurt,0.3994576545891444,0.25496879243605947,0.3455735529747962
Werder Bremen,RB Leipzig,0.2897505525839708,0.24364360101237226,0.466605846403657
