home_team,away_team,p_home_book,p_draw_book,p_away_book
AS Monaco,Marseille,0.42244223257735175,0.2592771315673275,0.3182806358553207
Angers,Lyon,0.19871407663884866,0.27228727824673693,0.5289986451144144
Auxerre,Nantes,0.45489486567771176,0.28706320775870975,0.2580419265635785
Brest,Rennes,0.27963671138960594,0.26938125724162226,0.45098203136877174
Brest,Strasbourg,0.3309034073158921,0.28250325789318564,0.3865933347909223
Le Havre,Auxerre,0.3961608281418864,0.30013411402689066,0.30370505783122304
Lille,RC Lens,0.37107421722502476,0.27889567872204435,0.3500301040529309
Lorient,Paris FC,0.40385828597665563,0.2934157423669752,0.3027259716563692
Lyon,Lorient,0.5555275910153299,0.2509190074500615,0.1935534015346086
Marseille,Metz,0.7512370528757848,0.15987519278974657,0.08888775433446862
Metz,Nantes,0.3256012732784899,0.29173945337069485,0.3826592733508152
Nice,Le Havre,0.48657729082182627,0.2867931792357958,0.22662952994237798
Paris FC,AS Monaco,0.2777978477603811,0.25892381607240406,0.4632783361672148
Paris Saint Germain,Toulouse,0.7395815411463238,0.16798340793312172,0.09243505092055442
RC Lens,Paris Saint Germain,0.2776874116643058,0.25400043029550085,0.46831215804019327
Rennes,Angers,0.6532784977388029,0.19426114819476364,0.15246035406643343
Strasbourg,Nice,0.5148549988558524,0.2558066530386031,0.22933834810554454
Toulouse,Lille,0.3000957528743198,0.2922514063844233,0.4076528407412569
