Paris Saint-Germain,Lens,Marseille,Lyon,Lille,AS Monaco,Stade Rennais,Strasbourg,Toulouse,Lorient,Brest,Angers,Paris FC,Le Havre AC,Nice,AJ Auxerre,Nantes,Metz
8946.0,1054.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1053.0,8881.0,59.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,60.0,7050.0,844.0,928.0,954.0,155.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,4.0,1896.0,2640.0,2533.0,2171.0,534.0,222.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.0,627.0,2803.0,2502.0,2414.0,1069.0,576.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,260.0,1958.0,2321.0,2233.0,1990.0,1180.0,14.0,35.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,91.0,1307.0,1278.0,1466.0,3282.0,2266.0,86.0,171.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,13.0,398.0,410.0,680.0,2598.0,4059.0,584.0,947.0,300.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,3.0,43.0,23.0,70.0,307.0,1143.0,2924.0,3801.0,1560.0,46.0,79.0,1.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0,6.0,0.0,8.0,53.0,409.0,3346.0,2930.0,2734.0,206.0,286.0,19.0,2.0,0.0,0.0,0.0
0.0,0.0,0.0,1.0,0.0,2.0,11.0,127.0,2472.0,1707.0,3981.0,727.0,881.0,78.0,12.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,486.0,317.0,1050.0,3377.0,3716.0,787.0,220.0,37.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,78.0,78.0,282.0,3621.0,3290.0,1693.0,801.0,155.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,7.0,28.0,1580.0,1335.0,3960.0,2338.0,737.0,4.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,408.0,369.0,2586.0,4323.0,2285.0,24.0,3.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,38.0,867.0,2269.0,6293.0,439.0,64.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,35.0,478.0,7200.0,2278.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,2332.0,7654.0
