Arsenal,Manchester City,Manchester United,Aston Villa,Liverpool,Chelsea,Brentford,Everton,Fulham,Brighton & Hove Albion,Sunderland,Newcastle United,AFC Bournemouth,Crystal Palace,Leeds United,Nottingham Forest,Tottenham Hotspur,West Ham United,Burnley,Wolverhampton Wanderers
9807.0,193.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
193.0,9550.0,195.0,59.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,236.0,6701.0,2323.0,344.0,358.0,20.0,12.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,19.0,2239.0,4828.0,1304.0,1241.0,147.0,148.0,23.0,40.0,9.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,2.0,609.0,1845.0,2629.0,2899.0,737.0,710.0,133.0,326.0,72.0,24.0,11.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,198.0,668.0,2392.0,2397.0,1458.0,1284.0,383.0,794.0,251.0,99.0,49.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,46.0,225.0,1556.0,1369.0,2036.0,1706.0,727.0,1297.0,474.0,319.0,185.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,11.0,40.0,858.0,849.0,1787.0,1771.0,1152.0,1732.0,741.0,588.0,367.0,104.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0,12.0,494.0,459.0,1464.0,1643.0,1475.0,1610.0,1044.0,918.0,641.0,238.0,1.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,248.0,244.0,1037.0,1156.0,1775.0,1534.0,1389.0,1255.0,973.0,380.0,8.0,1.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,130.0,120.0,684.0,820.0,1640.0,1133.0,1686.0,1699.0,1397.0,658.0,25.0,6.0,1.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,36.0,48.0,419.0,486.0,1304.0,831.0,1794.0,1942.0,1924.0,1138.0,57.0,19.0,1.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,6.0,13.0,171.0,193.0,982.0,482.0,1597.0,1821.0,2382.0,2005.0,264.0,69.0,10.0,5.0,0.0,0.0
0.0,0.0,0.0,0.0,2.0,1.0,38.0,70.0,380.0,198.0,835.0,1172.0,1690.0,4180.0,987.0,333.0,79.0,35.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,26.0,18.0,96.0,149.0,325.0,1005.0,4772.0,2147.0,1155.0,305.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,10.0,13.0,54.0,181.0,2347.0,4171.0,2192.0,1029.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,21.0,1163.0,2418.0,3791.0,2596.0,9.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,375.0,832.0,2748.0,5948.0,57.0,40.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,23.0,79.0,7166.0,2727.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2767.0,7232.0
