Bayern Munich,Borussia Dortmund,VfB Stuttgart,RB Leipzig,TSG Hoffenheim,Bayer Leverkusen,Eintracht Frankfurt,SC Freiburg,1. FC Union Berlin,FC Augsburg,Mainz,Hamburg SV,Borussia Mönchengladbach,Werder Bremen,FC Cologne,St. Pauli,VfL Wolfsburg,1. FC Heidenheim 1846
10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,9857.0,94.0,21.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,131.0,4937.0,2730.0,1884.0,318.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,12.0,2755.0,3872.0,2489.0,871.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1702.0,2432.0,3663.0,2200.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,511.0,944.0,1928.0,6536.0,57.0,22.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0,1.0,8.0,73.0,6021.0,3307.0,238.0,113.0,122.0,73.0,37.0,4.0,2.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,2.0,2809.0,4849.0,825.0,399.0,580.0,295.0,193.0,22.0,26.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,755.0,1279.0,2512.0,1285.0,2018.0,908.0,914.0,119.0,200.0,10.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,258.0,362.0,2065.0,1729.0,2066.0,1491.0,1212.0,353.0,423.0,40.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,70.0,139.0,1579.0,1685.0,1736.0,1795.0,1518.0,610.0,780.0,84.0,4.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,20.0,36.0,1189.0,1646.0,1383.0,1761.0,1612.0,981.0,1127.0,228.0,17.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,7.0,4.0,787.0,1401.0,1011.0,1552.0,1760.0,1423.0,1596.0,409.0,50.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,542.0,1070.0,663.0,1183.0,1495.0,2042.0,2089.0,814.0,101.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,212.0,546.0,324.0,725.0,939.0,2949.0,2133.0,1760.0,408.0,4.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,124.0,94.0,206.0,294.0,1340.0,1414.0,4847.0,1595.0,38.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,3.0,10.0,26.0,157.0,205.0,1766.0,7463.0,366.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,42.0,361.0,9592.0
